program,dataset,time
bfs_cuda,graph_g1000_s100.txt,0.41301179999999993
bfs_cuda,graph_g16000_s100.txt,15.641312
bfs_cuda,graph_g2000_s100.txt,0.6139076
bfs_cuda,graph_g4000_s100.txt,1.3253679999999999
bfs_cuda,graph_g8000_s100.txt,3.843879
bfs_openmp,graph_g1000_s100.txt,3.6579996
bfs_openmp,graph_g16000_s100.txt,776.7341104
bfs_openmp,graph_g2000_s100.txt,13.0689532
bfs_openmp,graph_g4000_s100.txt,49.4675384
bfs_openmp,graph_g8000_s100.txt,193.8461972
bfs_seq,graph_g1000_s100.txt,0.256332
bfs_seq,graph_g16000_s100.txt,56.7698802
bfs_seq,graph_g2000_s100.txt,0.9756859999999999
bfs_seq,graph_g4000_s100.txt,3.6161048
bfs_seq,graph_g8000_s100.txt,13.543446399999999
kmeans_cuda,kmeans_10000.txt,0.3331134
kmeans_cuda,kmeans_100000.txt,0.2697872
kmeans_cuda,kmeans_1000000.txt,2.2109196
kmeans_cuda,kmeans_10000000.txt,29.7148156
kmeans_cuda,kmeans_5000000.txt,13.349164400000001
kmeans_openmp,kmeans_10000.txt,1.1465494
kmeans_openmp,kmeans_100000.txt,19.2948844
kmeans_openmp,kmeans_1000000.txt,201.7170794
kmeans_openmp,kmeans_10000000.txt,2470.4576718
kmeans_openmp,kmeans_5000000.txt,1127.3981924
kmeans_seq,kmeans_10000.txt,0.0930098
kmeans_seq,kmeans_100000.txt,1.2389654
kmeans_seq,kmeans_1000000.txt,19.3044264
kmeans_seq,kmeans_10000000.txt,162.408275
kmeans_seq,kmeans_5000000.txt,93.4315498
nqueens_cuda,10,28.139999999999997
nqueens_cuda,6,0.18
nqueens_cuda,7,0.186
nqueens_cuda,8,0.21800000000000003
nqueens_cuda,9,0.974
nqueens_openmp,10,140.305
nqueens_openmp,6,0.3312532
nqueens_openmp,7,0.3387842
nqueens_openmp,8,0.4813442
nqueens_openmp,9,5.131174
nqueens_seq,10,2834.214
nqueens_seq,6,0.01983144
nqueens_seq,7,0.216381
nqueens_seq,8,4.152784
nqueens_seq,9,99.39272
warshall_cuda,inputfile1000.txt,0.496
warshall_cuda,inputfile2000.txt,2.2960000000000003
warshall_cuda,inputfile4000.txt,9.146
warshall_cuda,inputfile500.txt,0.11599999999999999
warshall_cuda,inputfile8000.txt,37.076
warshall_openmp,inputfile1000.txt,10.1406
warshall_openmp,inputfile2000.txt,42.467560000000006
warshall_openmp,inputfile4000.txt,264.1184
warshall_openmp,inputfile500.txt,3.928552
warshall_openmp,inputfile8000.txt,1889.2599999999998
warshall_seq,inputfile1000.txt,4.037999999999999
warshall_seq,inputfile2000.txt,31.72
warshall_seq,inputfile4000.txt,251.45
warshall_seq,inputfile500.txt,0.6
warshall_seq,inputfile8000.txt,2004.262
